number;standard_number;standard_code;professional_area;professional_type;standard_name;order_Mintrud
"1";"969";"16.110";"Строительство и жилищно-коммунальное хозяйство";"Проектирование системы обеспечения соблюдения требований энергетической эффективности зданий, строений и сооружений";"Специалист по подготовке проекта обеспечения соблюдения требований энергетической эффективности зданий, строений и сооружений";"605н от 31.08.2021"
"2";"1002";"16.127";"Строительство и жилищно-коммунальное хозяйство";"Проектирование подземных инженерных коммуникаций с применением бестраншейных технологий";"Специалист по проектированию подземных инженерных коммуникаций с применением бестраншейных технологий";"214н от 06.04.2021"
"3";"997";"40.175";"Сквозные виды профессиональной деятельности";"Монтаж технических средств охраны и безопасности объектов капитального строительства";"Монтажник слаботочных систем охраны и безопасности";"580н от 30.08.2021"
"4";"1139";"07.008";"Административно-управленческая и офисная деятельность";"Консультационное и организационное сопровождение системы управления процессами трудовой миграции";"Специалист по трудовой миграции";"672н от 29.10.2018"
"5";"270";"32.002";"Авиастроение";"Проектирование и конструирование авиационной техники";"Специалист по проектированию и конструированию авиационной техники";"753н от 21.10.2021"
"6";"272";"32.004";"Авиастроение";"Обеспечение прочности авиационных конструкций";"Специалист по прочностным расчетам авиационных конструкций";"631н от 15.09.2021"
"7";"701";"32.005";"Авиастроение";"Управление программами в организациях авиастроительной отрасли";"Специалист по управлению авиационными программами";"1045н от 21.12.2015"
"8";"703";"32.006";"Авиастроение";"Организация процессов послепродажного обслуживания авиационной техники и сервисной поддержки потребителей и управление ими";"Специалист по послепродажному обслуживанию авиационной техники";"1052н от 21.12.2015"
"9";"704";"32.007";"Авиастроение";"Управление цепью поставок в авиастроении";"Специалист по управлению цепью поставок в авиастроении";"1055н от 21.12.2015"
"10";"217";"31.011";"Автомобилестроение";"Осуществление продаж транспортных средств и оборудования";"Специалист по продажам в автомобилестроении";"678н от 09.10.2014"
"11";"209";"31.006";"Автомобилестроение";"Разработка дизайн-проектов для производства транспортных средств";"Дизайнер автомобилестроения";"813н от 28.10.2014"
"12";"213";"31.008";"Автомобилестроение";"Проведение химико-физических анализов по исследованию свойств материалов при производстве транспортных средств";"Химик-технолог в автомобилестроении";"689н от 10.10.2014"
"13";"220";"31.013";"Автомобилестроение";"Термическая обработка деталей при производстве транспортных средств";"Специалист по термообработке в автомобилестроении";"710н от 13.10.2014"
"14";"221";"31.014";"Автомобилестроение";"Технологическая подготовка и сопровождение производства автотранспортных средств (АТС)";"Технолог в автомобилестроении";"264н от 13.03.2017"
"15";"227";"31.020";"Автомобилестроение";"Производство металлических конструкций для производства транспортных средств";"Специалист по металлоконструкциям в автомобилестроении";"928н от 21.11.2014"
"16";"307";"07.001";"Административно-управленческая и офисная деятельность";"Медиация (урегулирование споров с помощью процедуры медиации)";"Специалист в области медиации (медиатор)";"1041н от 15.12.2014"
"17";"447";"07.002";"Административно-управленческая и офисная деятельность";"Организационное и документационное обеспечение управления организациями любых организационно-правовых форм";"Специалист по организационному и документационному обеспечению управления организацией";"333н от 15.06.2020"
"18";"134";"24.023";"Атомная промышленность";"Эксплуатационное обслуживание котлов в атомной энергетике";"Машинист котлов в атомной энергетике";"359н от 04.06.2014"
"19";"144";"24.024";"Атомная промышленность";"Обращение с ядерным топливом (ЯТ) и радиоактивными отходами (РО)";"Специалист по организации спецпроизводства в области атомного флота (всех специальностей, всех категорий)";"618н от 08.09.2014"
"20";"30";"24.001";"Атомная промышленность";"Переработка радиоактивных отходов (далее - РАО)";"Переработчик радиоактивных отходов";"553н от 02.09.2020"
"21";"351";"24.026";"Атомная промышленность";"Техническое обслуживание контрольно-измерительных приборов и автоматики (далее - КИПиА) на объектах использования атомной энергии (далее - ОИАЭ)";"Слесарь по контрольно-измерительным приборам и автоматике в атомной энергетике";"513н от 24.08.2020"
"22";"41";"24.005";"Атомная промышленность";"Управление проектами и программами в области атомного флота";"Специалист по управлению проектами и программами в области атомного флота";"190н от 07.04.2014"
"23";"422";"24.027";"Атомная промышленность";"Контроль за состоянием наземных и гидротехнических сооружений ПАТЭС";"Инженер наземных и гидротехнических сооружений плавучих атомных станций";"152н от 10.03.2015"
"24";"429";"24.028";"Атомная промышленность";"Организация и проведение работ по обеспечению ядерной, радиационной, технической, пожарной безопасности и охраны труда при работе со свежим и отработавшим ядерным топливом в процессе эксплуатации атомной станции";"Специалист ядерно-физической лаборатории в области атомной энергетики";"159н от 12.03.2015"
"25";"443";"24.029";"Атомная промышленность";"Наладка и регулировка оборудования с программным управлением для производства изделий в атомной промышленности";"Наладчик станков и манипуляторов в атомной промышленности";"147н от 10.03.2015"
"26";"45";"24.007";"Атомная промышленность";"Ведение технологических процессов хранения отработанного ядерного топлива (ОЯТ)";"Оператор хранилища отработанного ядерного топлива";"210н от 07.04.2014"
"27";"464";"24.032";"Атомная промышленность";"Инженерное обеспечение работы оборудования и систем реакторного отделения атомной электростанции (АЭС) для выработки тепловой и электрической энергии";"Специалист в области теплоэнергетики (реакторное отделение)";"280н от 07.05.2015"
"28";"46";"24.008";"Атомная промышленность";"Эксплуатационное обслуживание оборудования и трубопроводов систем реакторного отделения";"Оператор реакторного отделения";"212н от 07.04.2014"
"29";"473";"24.033";"Атомная промышленность";"Эксплуатация контрольно-измерительных приборов и автоматики АС";"Специалист в области контрольно-измерительных приборов и автоматики атомной станции";"333н от 29.05.2015"
"30";"477";"24.036";"Атомная промышленность";"Профессиональное обучение персонала атомных электрических станций (АЭС)";"Специалист в области профессионального обучения в атомной энергетике";"330н от 29.05.2015"
"31";"483";"24.037";"Атомная промышленность";"Техническое обслуживание и ремонт механического оборудования атомных станций (АС)";"Специалист по обслуживанию и ремонту механического оборудования атомных станций";"509н от 30.07.2018"
"32";"489";"24.039";"Атомная промышленность";"Организация технической эксплуатации плавучих атомных станций (ПАС)";"Специалист по организации технической эксплуатации плавучих атомных станций";"638н от 15.09.2015"
"33";"490";"24.040";"Атомная промышленность";"Контроль качества и приемка оборудования, запчастей, комплектующих изделий на атомных станциях (АС)";"Специалист в области производственно-технологической комплектации на атомных станциях";"633н от 14.09.2015"
"34";"53";"24.010";"Атомная промышленность";"Эксплуатация самоходного судна-плавкрана";"Руководитель плавкрана (кранмейстер) в области атомного флота";"201н от 07.04.2014"
"35";"55";"24.012";"Атомная промышленность";"Техническая эксплуатация электрооборудования судов с ядерной энергетической установкой (ЯЭУ) и судов атомного технологического обслуживания (АТО)";"Электромеханик судов с ядерной энергетической установкой, судов атомного технологического обслуживания (всех категорий)";"196н от 07.04.2014"
"36";"595";"24.058";"Атомная промышленность";"Извлечение металлов из руд, концентратов и отходов различных производств при помощи водных растворов химических реагентов (выщелачивание) с последующим выделением металлов из растворов";"Аппаратчик-гидрометаллург в атомной отрасли";"791н от 28.10.2015"
"37";"596";"24.059";"Атомная промышленность";"Ведение процесса дезактивации на атомной электрической станции";"Оператор установки дезактивации";"778н от 27.10.2015"
"38";"597";"24.060";"Атомная промышленность";"Эксплуатация спецоборудования по переработке твердых радиоактивных отходов (ТРО)";"Оператор спецоборудования по переработке твердых радиоактивных отходов";"846н от 05.11.2015"
"39";"599";"24.062";"Атомная промышленность";"Разработка проектно-технологической документации по выводу из эксплуатации объектов использования атомной энергии";"Инженер-проектировщик по выводу из эксплуатации объектов использования атомной энергии";"249н от 15.04.2019"
"40";"602";"24.065";"Атомная промышленность";"Профессиональная деятельность в области внедрения и поддержания интегрированных систем менеджмента, включая систему менеджмента качества, в организациях, осуществляющих деятельность в области использования атомной энергии";"Специалист по обеспечению качества в организациях, осуществляющих деятельность в области использования атомной энергии";"790н от 28.10.2015"
"41";"603";"24.066";"Атомная промышленность";"Применение геотехнологических методов добычи урана";"Оператор геотехнологических скважин в атомной отрасли";"864н от 07.12.2020"
"42";"605";"24.068";"Атомная промышленность";"Эксплуатация и техническое обслуживание систем дистанционного контроля работ в высоких радиационных полях";"Оператор систем дистанционного контроля работ в высоких радиационных полях";"800н от 29.10.2015"
"43";"65";"24.015";"Атомная промышленность";"Монтаж оборудования атомных электростанций";"Монтажник оборудования атомных электростанций";"226н от 11.04.2014"
"44";"680";"24.071";"Атомная промышленность";"Организация и проведение работ по контролю состояния и обеспечения безопасности эксплуатации атомной станции (АС)";"Инспектор в атомной энергетике";"1127н от 24.12.2015"
"45";"73";"24.018";"Атомная промышленность";"Техническая эксплуатация судового оборудования судов с ядерными энергетическими установками (ЯЭУ) и судов атомно-технологического обслуживания (АТО)";"Моторист судов с ядерными энергетическими установками, судов атомно-технологического обслуживания (всех категорий)";"231н от 11.04.2014"
"46";"316";"23.003";"Деревообрабатывающая и целлюлозно-бумажная промышленность, мебельное производство";"Управление гофрировальным агрегатом";"Машинист гофрировального агрегата";"1085н от 22.12.2014"
"47";"327";"23.009";"Деревообрабатывающая и целлюлозно-бумажная промышленность, мебельное производство";"Управление работой талловой установки";"Аппаратчик талловой установки";"1064н от 22.12.2014"
"48";"366";"23.019";"Деревообрабатывающая и целлюлозно-бумажная промышленность, мебельное производство";"Ведение технологического процесса выпарки щелоков и барды на выпарной установке";"Выпарщик щелоков";"1187н от 26.12.2014"
"49";"368";"23.021";"Деревообрабатывающая и целлюлозно-бумажная промышленность, мебельное производство";"Изготовление обоев на обоепечатной машине";"Машинист обоепечатной машины";"1167н от 26.12.2014"
"50";"369";"23.022";"Деревообрабатывающая и целлюлозно-бумажная промышленность, мебельное производство";"Управление работой пергаментной машины";"Машинист пергаментной машины";"1171н от 26.12.2014"
"51";"370";"23.023";"Деревообрабатывающая и целлюлозно-бумажная промышленность, мебельное производство";"Управление работой печатно-высекального агрегата";"Машинист печатно-высекального агрегата";"1147н от 25.12.2014"
"52";"371";"23.024";"Деревообрабатывающая и целлюлозно-бумажная промышленность, мебельное производство";"Управление работой пресспата, бумагоделательной и картоноделательной машин";"Машинист пресспата (сеточник), бумагоделательной и картоноделательной машин";"1148н от 25.12.2014"
"53";"378";"23.030";"Деревообрабатывающая и целлюлозно-бумажная промышленность, мебельное производство";"Разрезание бумаги, картона и целлюлозы на резательном оборудовании различного типа";"Резчик бумаги, картона, целлюлозы, гофрокартона";"1130н от 25.12.2014"
"54";"713";"23.046";"Деревообрабатывающая и целлюлозно-бумажная промышленность, мебельное производство";"Производство различных видов обоев";"Оператор по производству обоев";"1091н от 21.12.2015"
"55";"728";"23.050";"Деревообрабатывающая и целлюлозно-бумажная промышленность, мебельное производство";"Эксплуатационное обслуживание оборудования установок регенерации сернистой кислоты и выпаривания сульфитных щелоков";"Оператор регенерации сернистой кислоты и выпаривания сульфитных щелоков";"1090н от 21.12.2015"
"56";"732";"23.054";"Деревообрабатывающая и целлюлозно-бумажная промышленность, мебельное производство";"Изготовление бумаги и картона";"Оператор бумагоделательных, картоноделательных машин";"1100н от 21.12.2015"
"57";"733";"23.055";"Деревообрабатывающая и целлюлозно-бумажная промышленность, мебельное производство";"Ведение процесса изготовления изделий из бумаги и картона";"Машинист установок по производству изделий из бумаги и картона";"1065н от 21.12.2015"
"58";"734";"23.056";"Деревообрабатывающая и целлюлозно-бумажная промышленность, мебельное производство";"Управление поточными линиями и установками по производству бумажных мешков и упаковочной продукции";"Оператор поточных линий и установок по производству бумажных мешков и упаковочной продукции";"1093н от 21.12.2015"
"59";"735";"23.057";"Деревообрабатывающая и целлюлозно-бумажная промышленность, мебельное производство";"Эксплуатация и обслуживание автоматических линий по производству бумажных изделий хозяйственно-бытового и санитарно-гигиенического назначения (ХБ и СГН)";"Оператор производства бумажных изделий хозяйственно-бытового и санитарно-гигиенического назначения";"1094н от 21.12.2015"
"60";"736";"23.058";"Деревообрабатывающая и целлюлозно-бумажная промышленность, мебельное производство";"Управление установками по получению сульфатного скипидара";"Оператор установок по производству лесохимических продуктов";"1092н от 21.12.2015"
"61";"739";"23.059";"Деревообрабатывающая и целлюлозно-бумажная промышленность, мебельное производство";"Контроль производства и качества целлюлозно-бумажной продукции";"Контролер целлюлозно-бумажного производства";"1035н от 21.12.2015"
"62";"254";"19.003";"Добыча, переработка, транспортировка нефти и газа";"Обслуживание и ремонт технологического оборудования организаций переработки нефти и газа";"Специалист по обслуживанию и ремонту нефтезаводского оборудования";"927н от 21.11.2014"
"63";"255";"19.004";"Добыча, переработка, транспортировка нефти и газа";"Добыча нефти, газа и газового конденсата";"Оператор по добыче нефти, газа и газового конденсата";"642н от 22.09.2020"
"64";"256";"19.005";"Добыча, переработка, транспортировка нефти и газа";"Технологический контроль и управление процессом бурения нефтяных и газовых скважин";"Буровой супервайзер в нефтегазовой отрасли";"942н от 27.11.2014"
"65";"404";"19.009";"Добыча, переработка, транспортировка нефти и газа";"Геологическое обеспечение подземного хранения газа";"Специалист - геолог подземных хранилищ газа";"1184н от 26.12.2014"
"66";"411";"19.014";"Добыча, переработка, транспортировка нефти и газа";"Технологическое сопровождение подземного хранения газа";"Специалист-технолог подземных хранилищ газа";"1169н от 26.12.2014"
"67";"412";"19.015";"Добыча, переработка, транспортировка нефти и газа";"Эксплуатация оборудования подземных хранилищ газа";"Специалист по эксплуатации оборудования подземных хранилищ газа";"162н от 30.03.2021"
"68";"414";"19.017";"Добыча, переработка, транспортировка нефти и газа";"Капитальный ремонт нефтяных и газовых скважин";"Бурильщик капитального ремонта скважин";"792н от 17.11.2020"
"69";"424";"19.022";"Добыча, переработка, транспортировка нефти и газа";"Управление технологическими процессами приема, хранения и отгрузки нефти и нефтепродуктов";"Специалист по приему, хранению и отгрузке нефти и нефтепродуктов";"172н от 19.03.2015"
"70";"431";"19.025";"Добыча, переработка, транспортировка нефти и газа";"Обслуживание оборудования при приеме, размещении, хранении, перекачке, отпуске нефти, газа, газового конденсата и продуктов их переработки, реагентов и других продуктов";"Оператор товарный";"420н от 27.06.2018"
"71";"436";"19.026";"Добыча, переработка, транспортировка нефти и газа";"Контроль технического состояния, техническое диагностирование объектов и сооружений нефтегазового комплекса";"Специалист по техническому контролю и диагностированию объектов и сооружений нефтегазового комплекса";"156н от 10.03.2015"
"72";"827";"19.037";"Добыча, переработка, транспортировка нефти и газа";"Защита от коррозии внутренних поверхностей оборудования";"Специалист по защите от коррозии внутренних поверхностей оборудования нефтегазового комплекса";"1166н от 28.12.2015"
"73";"647";"02.003";"Здравоохранение";"Деятельность младшего медицинского персонала";"Младший медицинский персонал";"2н от 12.01.2016"
"74";"813";"02.006";"Здравоохранение";"Организация и ведение фармацевтической деятельности в сфере обращения лекарственных средств";"Провизор";"91н от 09.03.2016"
"75";"143";"04.001";"Культура, искусство";"Организация кинопроизводства";"Продюсер в области кинематографии";"610н от 08.09.2014"
"76";"145";"04.002";"Культура, искусство";"Художественная деятельность";"Специалист по техническим процессам художественной деятельности";"611н от 08.09.2014"
"77";"279";"27.002";"Металлургическое производство";"Сборка-разборка, комплектование, наладка и перевалка клетей (валков) на прокатных станах, профилегибочных агрегатах и роликовых правильных машинах";"Вальцовщик по сборке и перевалке клетей";"188н от 26.03.2018"
"78";"280";"27.003";"Металлургическое производство";"Производство холоднокатаного листового проката";"Вальцовщик стана холодной прокатки";"192н от 26.03.2018"
"79";"282";"27.005";"Металлургическое производство";"Управление процессом получения листового проката на станах холодной прокатки";"Оператор поста управления стана холодной прокатки";"355н от 04.06.2018"
"80";"285";"27.008";"Металлургическое производство";"Управление загрузкой доменной печи шихтовыми материалами";"Машинист шихтоподачи";"1060н от 22.12.2014"
"81";"289";"27.010";"Металлургическое производство";"Резка в холодном состоянии металлопроката в соответствии с заказами";"Резчик холодного металла";"360н от 04.06.2018"
"82";"301";"27.014";"Металлургическое производство";"Производство труб и профилей на станах холодного проката";"Вальцовщик стана холодного проката труб";"190н от 26.03.2018"
"83";"302";"27.015";"Металлургическое производство";"Производство труб и профилей на станах горячего проката";"Вальцовщик стана горячего проката труб";"160н от 19.03.2018"
"84";"303";"27.016";"Металлургическое производство";"Обработка стали на установках внепечной обработки";"Сталевар установки внепечной обработки стали";"1006н от 11.12.2014"
"85";"304";"27.017";"Металлургическое производство";"Производство стали в конвертере";"Сталевар конвертера";"1023н от 11.12.2014"
"86";"620";"27.021";"Металлургическое производство";"Управление коксовыми машинами";"Машинист коксовых машин";"918н от 01.12.2015"
"87";"621";"27.022";"Металлургическое производство";"Ведение технологического процесса сухого тушения кокса";"Машинист установки сухого тушения кокса";"995н от 03.12.2015"
"88";"623";"27.024";"Металлургическое производство";"Резка горячего металла на станах горячей прокатки";"Резчик горячего металла";"915н от 01.12.2015"
"89";"626";"27.027";"Металлургическое производство";"Плакирование полимерными материалами поверхности металла";"Плакировщик полимерных материалов на металл";"999н от 03.12.2015"
"90";"627";"27.028";"Металлургическое производство";"Ведение процесса отделки железнодорожных рельсов на автоматизированных поточных линиях";"Оператор линии отделки рельсов";"994н от 03.12.2015"
"91";"629";"27.030";"Металлургическое производство";"Выплавка ферросплавов";"Плавильщик ферросплавов";"961н от 03.12.2014"
"92";"630";"27.031";"Металлургическое производство";"Производство кокса";"Специалист по производству кокса";"978н от 03.12.2015"
"93";"631";"27.032";"Металлургическое производство";"Организация технологических процессов производства железорудного агломерата";"Специалист по производству агломерата";"984н от 03.12.2015"
"94";"632";"27.033";"Металлургическое производство";"Организация производства чугуна";"Специалист по производству чугуна";"928н от 01.12.2015"
"95";"633";"27.034";"Металлургическое производство";"Организация производство стали кислородно-конвертерным способом";"Специалист по кислородно-конвертерному производству стали";"960н от 02.12.2015"
"96";"634";"27.035";"Металлургическое производство";"Организация производства горячекатаного проката";"Специалист по производству горячекатаного проката";"947н от 02.12.2015"
"97";"635";"27.036";"Металлургическое производство";"Организация производства холоднокатаного листа";"Специалист по производству холоднокатаного листа";"948н от 02.12.2015"
"98";"637";"27.038";"Металлургическое производство";"Конвертирование медных и медно-никелевых штейнов";"Конвертерщик";"945н от 02.12.2015"
"99";"638";"27.039";"Металлургическое производство";"Ведение процесса вельцевания полиметаллических промпродуктов и отходов металлургического производства";"Печевой на вельцпечах";"949н от 02.12.2015"
"100";"641";"27.042";"Металлургическое производство";"Ведение гидрометаллургических процессов в производстве тяжелых цветных металлов";"Аппаратчик-гидрометаллург производства тяжелых цветных металлов";"967н от 03.12.2015"
"101";"642";"27.043";"Металлургическое производство";"Производство катодных основ методом электролиза в водных растворах";"Катодчик";"987н от 03.12.2015"
"102";"643";"27.044";"Металлургическое производство";"Производство цветных металлов методом электролиза в водных растворах";"Электролизник водных растворов";"986н от 03.12.2015"
"103";"646";"27.047";"Металлургическое производство";"Пироометаллургическое производство тяжелых цветных металлов";"Специалист по пирометаллургическому производству тяжелых цветных металлов";"983н от 03.12.2015"
"104";"648";"27.048";"Металлургическое производство";"Ведение технологического процесса разливки чугуна и ферросплавов";"Машинист разливочной машины";"926н от 01.12.2015"
"105";"649";"27.049";"Металлургическое производство";"Ведение технологического процесса десульфурации чугуна";"Горновой десульфурации чугуна";"924н от 01.12.2015"
"106";"650";"27.050";"Металлургическое производство";"Ведение технологического процесса грануляции доменного шлака";"Грануляторщик доменного шлака";"923н от 01.12.2015"
"107";"651";"27.051";"Металлургическое производство";"Управление процессом выплавки стали в конвертере";"Машинист дистрибутора";"927н от 01.12.2015"
"108";"652";"27.052";"Металлургическое производство";"Обработка поверхностных пороков металла";"Обработчик поверхностных пороков металла";"913н от 01.12.2015"
"109";"653";"27.053";"Металлургическое производство";"Ведение технологического процесса производства металлических профилей на профилегибочных агрегатах";"Вальцовщик профилегибочного агрегата";"962н от 03.12.2015"
"110";"655";"27.055";"Металлургическое производство";"Организация технологических процессов производства холоднокатаных, холоднодеформированных, холоднотянутых бесшовных стальных труб";"Специалист по производству холоднокатаных труб";"951н от 02.12.2015"
"111";"656";"27.056";"Металлургическое производство";"Организация технологических процессов производства горячекатаных труб";"Специалист по производству горячекатаных труб";"911н от 01.12.2015"
"112";"659";"27.057";"Металлургическое производство";"Организация производства стали в электросталеплавильных цехах";"Специалист по электросталеплавильному производству";"980н от 03.12.2015"
"113";"469";"12.002";"Обеспечение безопасности";"Прием и обработка экстренных вызовов (сообщений о происшествиях), поступающих в центр обработки экстренных вызовов";"Специалист по приему и обработке экстренных вызовов";"681н от 06.10.2021"
"114";"683";"12.003";"Обеспечение безопасности";"Обеспечение охраны образовательных организаций";"Работник по обеспечению охраны образовательных организаций";"1010н от 11.12.2015"
"115";"513";"01.003";"Образование и наука";"Педагогическая деятельность в дополнительном образовании детей и взрослых";"Педагог дополнительного образования детей и взрослых";"652н от 22.09.2021"
"116";"251";"22.001";"Пищевая промышленность, включая производство напитков и табака";"Управление работой тепловых и холодильных установок при термической обработке пищевых продуктов";"Оператор тепловых/холодильных установок";"540н от 04.08.2021"
"117";"547";"28.002";"Производство машин и оборудования";"Контроллинг";"Специалист по контроллингу машиностроительных организаций";"595н от 07.09.2015"
"118";"758";"28.004";"Производство машин и оборудования";"Проектно-конструкторские работы по изготовлению изделий (комплексов оборудования) для обезвреживания отходов";"Инженер-проектировщик установок для утилизации и обезвреживания медицинских и биологических отходов";"1148н от 24.12.2015"
"119";"804";"28.005";"Производство машин и оборудования";"Производство часов бытового и специального назначения";"Работник часового производства";"1158н от 28.12.2015"
"120";"543";"29.002";"Производство электрооборудования, электронного и оптического оборудования";"Техническое обеспечение технологии производства полупроводниковых элементов, приборов, включая фоточувствительные и оптоэлектронные";"Специалист технического обеспечения технологических процессов производства приборов квантовой электроники и фотоники";"598н от 07.09.2015"
"121";"538";"29.001";"Производство электрооборудования, электронного и оптического оборудования";"Проектирование и обслуживание чистых производственных помещений для микро- и наноэлектронных производств";"Специалист по проектированию и обслуживанию чистых производственных помещений для микро- и наноэлектронных производств";"599н от 07.09.2015"
"122";"744";"29.003";"Производство электрооборудования, электронного и оптического оборудования";"Проектирование детской и образовательной робототехники";"Специалист по проектированию детской и образовательной робототехники";"3н от 14.01.2016"
"123";"575";"25.022";"Ракетно-космическая промышленность";"Проектирование разгонных блоков транспортных систем средств выведения ракетно-космических комплексов";"Специалист по проектированию разгонных блоков транспортных систем в ракетно-космической промышленности";"517н от 28.07.2021"
