number;standard_number;standard_code;professional_area;professional_type;standard_name;order_Mintrud
"829";"1486";"06.048";"Связь, информационные и коммуникационные технологии";"Исследования, разработка, изготовление опытных образцов, техническое сопровождение в процессе эксплуатации радиоэлектронных средств различного назначения";"Инженер-радиоэлектронщик в области радиотехники и телекоммуникаций";"600н от 31.08.2021"
"830";"1487";"17.122";"Транспорт";"Организация безопасной и эффективной работы станции метрополитена";"Супервайзер станции метрополитена";"717н от 12.10.2021"
"831";"1480";"40.225";"Сквозные виды профессиональной деятельности";"Техническое обеспечение эксплуатации и ремонта технологического оборудования механосборочного производства";"Специалист по эксплуатации и ремонту технологического оборудования механосборочного производства";"418н от 28.06.2021"
"832";"1507";"05.015";"Физическая культура и спорт";"Физкультурно-спортивное воспитание и подготовка по видам адаптивного спорта детей и взрослых с ограниченными возможностями здоровья, в том числе инвалидов (далее - ОВЗИ)";"Тренер-преподаватель по адаптивной физической культуре и спорту";"734н от 19.10.2021"
"833";"1090";"06.042";"Связь, информационные и коммуникационные технологии";"Создание и применение технологий больших данных";"Специалист по большим данным";"405н от 06.07.2020"
"834";"1313";"17.098";"Транспорт";"Эксплуатация судового электрооборудования и средств автоматики";"Электромеханик судовой";"331н от 15.06.2020"
"835";"1316";"17.099";"Транспорт";"Техническая эксплуатация судовых энергетических установок (далее - СЭУ), судовых систем, механизмов и технических средств морских судов и судов внутреннего плавания";"Моторист судовой";"335н от 15.06.2020"
"836";"1318";"17.100";"Транспорт";"Техническая поддержка процесса эксплуатации, развития и обеспечения работы устройств электрификации и электроснабжения железнодорожного транспорта";"Специалист по технической поддержке процесса эксплуатации устройств электрификации и электроснабжения железнодорожного транспорта";"334н от 15.06.2020"
"837";"1312";"25.060";"Ракетно-космическая промышленность";"Выполнение и организация исследовательских и проектных работ в области аэрогазодинамики и процессов теплообмена изделий ракетно-космической техники (далее - РКТ)";"Специалист по аэрогазодинамике и процессам теплообмена в ракетно-космической промышленности";"332н от 15.06.2020"
"838";"1314";"24.097";"Атомная промышленность";"Цифровое проектирование объектов использования атомной энергии (далее - ОИАЭ)";"Специалист по цифровому проектированию объектов использования атомной энергии";"328н от 15.06.2020"
"839";"1315";"24.098";"Атомная промышленность";"Производство проектной продукции для объектов использования атомной энергии (далее - ОИАЭ)";"Специалист по производству проектной продукции для объектов использования атомной энергии";"342н от 15.06.2020"
"840";"601";"24.064";"Атомная промышленность";"Организация строительно-монтажных работ при строительстве объектов использования атомной энергии (далее - ОИАЭ)";"Инженер строительно-монтажных работ по строительству объектов использования атомной энергии";"338н от 15.06.2020"
"841";"606";"24.069";"Атомная промышленность";"Контроль качества строительно-монтажных работ на объектах использования атомной энергии (далее - ОИАЭ)";"Специалист по строительному контролю качества строительно-монтажных работ на объектах использования атомной энергии";"330н от 15.06.2020"
"842";"941";"40.146";"Сквозные виды профессиональной деятельности";"Ремонт и наладка механических узлов металлорежущих станков";"Ремонтник-наладчик механических узлов металлорежущих станков";"403н от 06.07.2020"
"843";"1344";"20.043";"Электроэнергетика";"Проведение и контроль выполнения ремонтных работ парогазотурбинного оборудования тепловой электрической станции (далее - ТЭС)";"Работник по ремонту парогазотурбинного оборудования тепловой электростанции";"240н от 14.04.2021"
